Date,Open,High,Low,Close,Adj Close,Volume
1992-01-01,3152.10009765625,3213.330078125,3139.31005859375,3204.800048828125,3204.800048828125,99960000
1992-01-08,3204.800048828125,3248.8798828125,3179.110107421875,3246.199951171875,3246.199951171875,125820000
1992-01-15,3246.199951171875,3279.9599609375,3215.340087890625,3223.39990234375,3223.39990234375,149790000
1992-01-22,3223.39990234375,3275.489990234375,3216.679931640625,3272.10009765625,3272.10009765625,110400000
1992-01-29,3272.10009765625,3299.18994140625,3213.550048828125,3272.800048828125,3272.800048828125,118020000
1992-02-05,3272.800048828125,3282.199951171875,3207.9599609375,3251.60009765625,3251.60009765625,109010000
1992-02-12,3251.60009765625,3286.0,3219.139892578125,3224.699951171875,3224.699951171875,87010000
1992-02-19,3224.699951171875,3289.800048828125,3215.340087890625,3257.800048828125,3257.800048828125,114470000
1992-02-26,3257.800048828125,3295.6201171875,3254.469970703125,3290.300048828125,3290.300048828125,94570000
1992-03-04,3290.300048828125,3299.639892578125,3211.31005859375,3231.0,3231.0,96740000
1992-03-11,3231.0,3260.06005859375,3188.280029296875,3256.0,3256.0,85190000
1992-03-18,3256.0,3284.43994140625,3246.199951171875,3261.0,3261.0,103770000
1992-03-25,3261.0,3276.389892578125,3226.52001953125,3235.5,3235.5,79970000
1992-04-01,3235.5,3279.2900390625,3211.090087890625,3213.60009765625,3213.60009765625,101610000
1992-04-08,3213.60009765625,3322.22998046875,3161.22998046875,3306.10009765625,3306.10009765625,112120000
1992-04-15,3307.0,3366.5,3307.0,3343.300048828125,3343.300048828125,95670000
1992-04-22,3343.300048828125,3361.81005859375,3283.989990234375,3307.89990234375,3307.89990234375,104660000
1992-04-29,3308.10009765625,3387.52001953125,3308.10009765625,3359.39990234375,3359.39990234375,100380000
1992-05-06,3360.0,3440.669921875,3353.530029296875,3385.10009765625,3385.10009765625,83210000
1992-05-13,3385.10009765625,3440.18994140625,3346.0,3398.0,3398.0,90330000
1992-05-20,3398.0,3404.340087890625,3356.43994140625,3364.199951171875,3364.199951171875,97050000
1992-05-27,3364.199951171875,3420.469970703125,3360.070068359375,3396.10009765625,3396.10009765625,105140000
1992-06-03,3396.10009765625,3422.280029296875,3359.550048828125,3369.89990234375,3369.89990234375,104610000
1992-06-10,3369.89990234375,3381.580078125,3323.780029296875,3329.5,3329.5,101960000
1992-06-17,3329.5,3329.75,3254.050048828125,3285.60009765625,3285.60009765625,127230000
1992-06-24,3285.60009765625,3331.6298828125,3269.840087890625,3318.5,3318.5,97930000
1992-07-01,3318.800048828125,3373.889892578125,3291.389892578125,3295.199951171875,3295.199951171875,97750000
1992-07-08,3295.199951171875,3358.929931640625,3273.56005859375,3358.39990234375,3358.39990234375,94810000
1992-07-15,3358.39990234375,3364.330078125,3287.06005859375,3308.39990234375,3308.39990234375,100310000
1992-07-22,3307.89990234375,3335.14990234375,3266.530029296875,3334.10009765625,3334.10009765625,92930000
1992-07-29,3334.10009765625,3402.9599609375,3334.090087890625,3384.300048828125,3384.300048828125,97680000
1992-08-05,3384.300048828125,3384.320068359375,3314.35009765625,3331.10009765625,3331.10009765625,95670000
1992-08-12,3331.10009765625,3342.179931640625,3306.7900390625,3329.5,3329.5,77570000
1992-08-19,3329.5,3335.68994140625,3207.10009765625,3232.199951171875,3232.199951171875,91540000
1992-08-26,3232.199951171875,3274.10009765625,3225.469970703125,3266.260009765625,3266.260009765625,80350000
1992-09-02,3266.300048828125,3313.5400390625,3257.6201171875,3260.60009765625,3260.60009765625,70990000
1992-09-09,3260.60009765625,3376.489990234375,3258.159912109375,3327.300048828125,3327.300048828125,109400000
1992-09-16,3327.300048828125,3333.889892578125,3280.0400390625,3280.89990234375,3280.89990234375,108920000
1992-09-23,3280.89990234375,3294.89990234375,3242.760009765625,3266.800048828125,3266.800048828125,112510000
1992-09-30,3266.800048828125,3280.85009765625,3095.7900390625,3178.199951171875,3178.199951171875,118560000
